setid,appNumbers
26d5eb1e-e9f3-4c3f-abb2-fe432cf09353,137409
2e531abd-b3ec-4819-81a3-f51e6867658c,101479
653fa86f-42d3-4817-aae3-b0fb4710f8e5,101479
3ef51363-2236-40aa-bf32-601c9f1c722a,106111
53b44eed-318e-401f-89d0-d0dbe064cecd,200626
f88f0d2b-1b04-48bf-9826-ff0e33605237,096298
516fbca3-a6aa-4e84-a583-da57ed492e06,134708
d2d6dcd1-7835-4c7b-bbae-d14752d9983b,100237
bbbcff04-e023-43c0-aeb5-a8f747d79fd4,100237
482cf623-51a4-4a95-97af-64a2e86f85ef,141609
9430b363-9980-4616-98b9-f70b2d4e2ca8,141177
3e47c561-8c1d-4639-95d4-6ed14ca2c118,141600
875c461a-e0db-4478-9006-7bd1d006ed3a,141268
2a7c0915-4d82-450e-9477-bcac6aebd1e1,120615
c7beb049-a233-4619-b5c2-61037b56f0b9,120615
8e3e54e8-46e7-4fc7-be01-239dc94dc839,140856
a6aeb99a-ce49-4125-90ce-642df3f1ebad,
33ffc2c7-3ae1-4cac-b21a-b7d08fe6165d,200498
8b7f3f89-c745-4156-b27d-5dbe8d41fde3,200595
84c70074-8c1c-4239-9f5f-0087130638f8,200520
22a5e838-c9a3-40d2-84cd-15df6ada913b,141291
b4181fa7-e45f-4beb-a3f5-49c987d584ac,141459|141426
fed84d87-049a-4e22-8091-451cde091815,141459
d9d5ebde-7ff7-4864-b393-fbe77d7a112f,141518
8fced6df-02cf-46b5-b794-c1512913e6d4,141532|141426
82f1fc7c-41f1-4a1d-8117-6d8eb9d0b54f,141599|141426
1fcbf232-cfd4-481e-ba9b-6251b7b468d7,141426
dfe55ac8-45d4-44c6-b6fa-32f55068d6d8,141607
54518863-9821-4df0-8e3e-b89bdc434d5f,141617
8dbc0e47-8df9-4484-903b-70fdd26f7998,141297
027d50b8-3c40-4a80-bb8b-c1b46fd0bb2a,200759|034621
ae09ae83-0812-4ddc-92e3-730f7a1ae449,141295
911312e2-3a7c-4c97-88a8-b8d92cd12923,
51bc1164-d486-4d8f-83c5-324b4970aa8b,200443
e3038f84-55e5-4633-aa7c-5b750c3a716c,200819
d27da7db-5c2c-4b9f-bf14-a4d18d3e6d4e,200821
e9c22b8d-81a4-4c4d-bb39-8f37256c5b7b,129034
88f58baf-4ec5-4d6f-a447-68af4b239318,131538
23207958-49a9-4172-b2ac-909e47c9dddf,200144
c1857237-3067-46f7-ab2a-710775a1a86d,200247
ebccbb8c-2d84-4777-a73f-1e87527ee2e7,141214
10dc37d6-502a-49b1-b389-fefde369e702,134314
22f27ed4-e879-4ed6-8ff0-6369d62ff0ff,200785
dbe41248-7740-47f2-aa91-65310bfa3e66,200710
d249434b-f8b1-4b56-bc5a-66643ee37a63,129831
a58096cd-8ad5-4abf-95c8-893c3aa5b464,140819
60203a82-07fb-4701-b7a7-c8c53e0dc8c8,141614
85d8da6c-744d-4b59-89b8-6908c6f2bb02,141576
c790f283-9798-40ee-bf5f-dadd1968c336,200823
ac797b29-5673-4c87-81cf-1c3655ebdb51,200832
ab95013e-ef3a-4290-b673-4107d1a4370e,200829
2a120c74-bc49-4249-9d06-8dd1ee37b3e3,200395
a9be1c83-e2c4-4b5f-a249-cb7c4e912c4a,200394
70e3e339-ba69-4439-9c93-c8193fd507c9,141615
bf9d4190-5d40-4f04-9fb9-40ff4a4f3888,141615
af5e5918-3309-44b4-984d-e9a2453587c0,200831
e4859e6e-5ebc-469a-8f53-89035ae7f913,200828|141265
751e4b05-7d0e-4e7b-81d0-770a1edc2f76,034267
0fc8c945-acf9-4efb-a204-a76dd9672fbe,200830
89fa35f1-61a2-425a-bf5f-c4e78ebfac20,200322
56af4da6-217e-4edc-8c68-60ccbbaf8221,130435
3644ca73-1257-4355-817b-37fced33eef4,200128
4926fcfa-20a0-46d8-aca2-53ae88332a31,141596
b50502d4-e4b1-4fd2-818f-9aa86bad71a4,200804
3faaeab4-32c9-46b2-a2be-ddd5d2d7942a,096298
c65c57fa-d397-4ef9-84e6-03e51ebe17de,096298
f8b0e260-89ef-4cb8-acae-2410c66a1afd,
e011b7ce-e1de-47c1-b2d7-c25403281e2b,200842
e976f0ea-0aa1-4b55-b4df-aa514f55e9bc,200786
8c1f6a04-5753-4723-a3ac-c61f6a478ae3,200497
70f3d14e-85d8-481c-84e6-1f0e4baecec0,200491
e6a55d85-af72-482a-8e10-d14894e3ac9e,141613
1a84044d-5ad4-4eb3-ab50-d79263809a4c,200368
40b9d864-3ad3-4d43-9868-c380f5977d9f,200429
c3a6a8a9-f62a-4c88-821f-952b812531d0,200341
e622cfd8-2749-4a6f-b347-988806432c88,141299|141265
2d70b747-314c-4baa-95c4-1734855a1556,141292
e55d075e-2fe2-4405-b57a-59b85067e0c0,141314
beef9f59-3b28-4539-93b0-dbd9d7d304e8,200484
dac46d7b-d852-42ca-822b-32ba0faf5038,200484
bb913f0b-79c4-43d1-94d0-291b15d50321,200473
7439a491-d9e1-4622-8e2f-705885deb7a5,200433
3f891a61-ce58-4cc1-97e2-a161907ea8eb,141458|141253
ded00eb4-5edb-46d6-9f86-460d9de01d0b,200418
879f0b28-00c0-40e8-b224-afcf39b1fce7,200555
0a1c7c50-04a4-4c5a-a95a-18a4d39d1808,141321
9b6e29b3-7286-4408-9a44-7d8589d1d958,141325
c2346ac2-270f-457b-be1b-152de1dcfdda,141330
f64232d7-e904-45d5-924d-07850f9c3e3d,141266
089bde88-521a-401e-8f03-1320e7e6ae03,141324
ea1b0dc1-bd3d-4762-9f27-4300e4606d3d,141324
0b2249cb-ecf4-4be9-a6b2-0fe6ca2a7a36,141324
6096f709-fa5a-45e1-9767-2f159f882520,141517|141324
54cec27b-4119-4ea1-b4fd-59cb5e002b64,141517|141324
98861d71-98c2-4f47-be86-825a46fb7634,141517|141324
c26843de-74ba-4a51-a18c-2d3bc0bcb07a,141517|141324
455e5d97-f639-472b-b93b-88b9174a0310,141331
c856bd55-363f-49dd-9537-12cd9de89189,200543
922d3235-085e-454f-9535-44ef4bca12f4,141320
